"tab_code","表章項目","cat01_code","確定値","cat02_code","男女別","cat03_code","年齢5歳階級","cat04_code","人口","area_code","全国","time_code","時間軸（年月日現在）","unit","value"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022000101","2022年1月","千人","4359"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022000202","2022年2月","千人","4345"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022000303","2022年3月","千人","4332"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022000404","2022年4月","千人","4320"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022000505","2022年5月","千人","4308"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022000606","2022年6月","千人","4292"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022000707","2022年7月","千人","4281"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022000808","2022年8月","千人","4268"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022000909","2022年9月","千人","4256"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022001010","2022年10月","千人","4247"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022001111","2022年11月","千人","4236"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2022001212","2022年12月","千人","4223"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2023000101","2023年1月","千人","4210"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2023000202","2023年2月","千人","4192"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2023000303","2023年3月","千人","4181"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2023000404","2023年4月","千人","4169"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2023000505","2023年5月","千人","4154"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2023000606","2023年6月","千人","4140"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2023000707","2023年7月","千人","4129"
